"LSOACODE","AVEPRICE","AVEINCOME","IMDSCORE","PTAINDEX","PTACAT"
"E01000001",1033951.89,102660,6.1,69.82,"5. Highest"
"E01000002",1010719.58,104173.33,6.3,83.78,"5. Highest"
"E01000003",601857.75,81976.67,19.5,41.74,"5. Highest"
"E01000005",470676,69676.67,26,85.89,"5. Highest"
"E01000006",238836.99,43420,22.6,22.46,"4. High"
"E01000007",183837.26,37496.67,42.5,33.3,"5. Highest"
"E01000008",185384.48,35866.67,38.3,7.39,"2. Low"
"E01000009",221102.42,40013.33,33.4,38.36,"5. Highest"
"E01000010",200068.37,39976.67,30.9,32.29,"5. Highest"
"E01000011",243556.94,39566.67,30.1,31.92,"5. Highest"
"E01000012",170330.88,38413.33,36.9,16.23,"3. Medium"
"E01000013",229079.82,37756.67,40.3,13.14,"3. Medium"
"E01000014",227537.58,37390,38.4,7.46,"2. Low"
"E01000015",195198.44,37033.33,39.1,8.3,"2. Low"
"E01000016",238998.13,38340,34.2,5.12,"2. Low"
"E01000017",248082.25,37683.33,40.6,8.2,"2. Low"
"E01000018",232961.49,38370,36.4,7.38,"2. Low"
"E01000019",243923.14,38640,34.6,4.59,"1. Lowest"
"E01000020",249291.85,38720,32.9,6.75,"2. Low"
"E01000021",238556.73,36456.67,40.8,4.87,"1. Lowest"
"E01000022",240880.66,39140,31.6,6.4,"2. Low"
"E01000023",218987.32,38946.67,38.6,7.01,"2. Low"
"E01000024",247147.78,38440,30.9,7.44,"2. Low"
"E01000025",233202.07,38416.67,36,5.75,"2. Low"
"E01000027",223404.8,37286.67,42,3.86,"1. Lowest"
"E01000028",204444.78,36240,43.1,3.01,"1. Lowest"
"E01000029",281308.08,40363.33,26.7,2.52,"1. Lowest"
"E01000030",218261.02,36300,41.3,4.82,"1. Lowest"
"E01000031",278274.28,43353.33,25.1,4.08,"1. Lowest"
"E01000032",260576.74,41146.67,30.4,6.69,"2. Low"
"E01000033",242412.13,38353.33,41.4,3.92,"1. Lowest"
"E01000034",251760.78,41220,37,3.51,"1. Lowest"
"E01000035",248881.2,42223.33,27,6.78,"2. Low"
"E01000036",240838.8,43726.67,20.9,7.35,"2. Low"
"E01000037",267369.57,46156.67,20.1,2.32,"1. Lowest"
"E01000038",283497.83,43636.67,19.1,8.36,"2. Low"
"E01000039",263212.24,44133.33,23.5,2,"1. Lowest"
"E01000040",240193.6,38180,34.7,9.01,"2. Low"
"E01000041",248745.72,38106.67,34.7,5.72,"2. Low"
"E01000042",221773.99,36763.33,43.9,8.49,"2. Low"
"E01000043",253283.5,39083.33,33.7,7.27,"2. Low"
"E01000044",245238.82,40173.33,31.1,8.71,"2. Low"
"E01000045",224985.89,38716.67,37.9,7.09,"2. Low"
"E01000046",241140.18,37640,31.1,6.09,"2. Low"
"E01000048",271516.08,32600,49.3,8.14,"2. Low"
"E01000049",204635.42,34323.33,41.4,7.74,"2. Low"
"E01000050",242004.83,36610,35.7,23.45,"4. High"
"E01000051",304477.78,32730,42.7,13.44,"3. Medium"
"E01000052",241871.78,37093.33,31.6,7.91,"2. Low"
"E01000053",194971.81,37656.67,42.1,5.84,"2. Low"
"E01000054",240757.41,38940,32.8,6.31,"2. Low"
"E01000055",246681.84,38876.67,32.6,7.79,"2. Low"
"E01000056",223027.84,38530,42.4,1.63,"1. Lowest"
"E01000057",228075.94,38583.33,40.2,9.98,"2. Low"
"E01000058",217977.95,39173.33,31.6,7.26,"2. Low"
"E01000059",239049.43,38053.33,38.3,5.43,"2. Low"
"E01000060",239278.47,37506.67,40.9,4.75,"1. Lowest"
"E01000061",145583.33,33476.67,56.6,7.36,"2. Low"
"E01000062",252312.71,38213.33,31.3,4.49,"1. Lowest"
"E01000063",231444.82,37473.33,34.8,7.43,"2. Low"
"E01000064",218391.47,36886.67,35.2,4.11,"1. Lowest"
"E01000065",241593.2,35633.33,39.7,5.83,"2. Low"
"E01000066",293907.92,44376.67,24.2,3.48,"1. Lowest"
"E01000067",314031.19,45590,21,5.81,"2. Low"
"E01000068",351541.56,47426.67,26,16.95,"3. Medium"
"E01000069",396518.65,48346.67,15.8,8.91,"2. Low"
"E01000070",359341.58,46883.33,20.9,9.09,"2. Low"
"E01000071",317480.46,45423.33,18.3,8.5,"2. Low"
"E01000072",215475.59,35440,44.3,3.47,"1. Lowest"
"E01000073",243415.87,37726.67,39.5,3.68,"1. Lowest"
"E01000074",212149.96,37713.33,35.3,5.22,"2. Low"
"E01000075",260757.63,38433.33,38.6,9.07,"2. Low"
"E01000076",221488.98,36650,39,5.92,"2. Low"
"E01000077",236048.63,36593.33,36.7,7.49,"2. Low"
"E01000078",235137.24,36940,37,6.91,"2. Low"
"E01000079",231639.64,36986.67,37.5,5.87,"2. Low"
"E01000080",244196.77,36716.67,34.1,5.89,"2. Low"
"E01000081",234917.71,37836.67,31.7,4.96,"1. Lowest"
"E01000082",209069.99,37923.33,32.1,4.94,"1. Lowest"
"E01000083",216651.93,37416.67,38.2,7.39,"2. Low"
"E01000084",232227.77,38116.67,41.8,13.92,"3. Medium"
"E01000085",225803.07,36186.67,38.8,13.56,"3. Medium"
"E01000086",235226.9,38940,37.9,11.32,"3. Medium"
"E01000087",244428.27,38460,34.4,7.1,"2. Low"
"E01000088",221726.6,40536.67,30.2,4.09,"1. Lowest"
"E01000089",222907.28,39676.67,29.6,3.15,"1. Lowest"
"E01000090",212336.38,40373.33,30.7,2.62,"1. Lowest"
"E01000091",218872.22,35263.33,44.1,4.7,"1. Lowest"
"E01000092",200387.94,39593.33,32.7,1.89,"1. Lowest"
